ch,ru
正向配送费,Плата за доставку
揽收服务费,Плата за забор груза (услуга)
揽收操作费,Плата за забор груза (работа)
仓内增值服务费,Плата за на дополнительные складе услуги на складе
订单操作费,Плата за складские работы
包装物料费,Плата за упаковочные материалы
服务赔付,Компенсация попо логистическим улугам
货值赔付,Компенсация за потерю или повреждение груза
货物装卸费,Плата груза за погрузку и разгрузку товара
仓储费_月结,Плата за хранение месячный расчет Плата
打木架费,Плата за защитную транспортную упаковку
SMS服务费,Плата за услугу SMS-оповещений
配送附加费,Дополнительная плату плата при доставке КГТ
包邮补贴费,Частичная компенсация стоимости доставки
退货服务费,Плата за услуги по возврату товара
前十单补贴费,Компенсация по акции "Первые 10 бесплатных доставок"
货运保险费,Плата за страхование грузов (Почта России)
自提费,Плата за доставку Плата
保价费,Плата за страхование грузов 
退货入仓费,Плата склад за складские услуги при возврате товара
激励费,Субсидия
买家支付物流费,Списание покупательского сбора Компенсация
前一百单补贴,Компенсация по акции "Первые 100 бесплатных доставок"
仓储费,Плата за хранение
代运营佣金,Агентская плата за использование магазина
俄邮准备费,Расходы Почты России
